ID	Date	Box_code	Density	Sex_true	Sex_predicted	Disp	Time_sec	Active	Height	Diametre	PeristomeH
B2_67_D4_R1	12/06/2017	11	4	M	M	yes	305	1	12.8	10.2	6.2
B2_68_D4_R1	12/06/2017	11	4	M	M	no	7200	0	12.1	9.6	5.4
B2_69_D4_R1	12/06/2017	11	4	M	F	yes	720	1	13.5	10.5	6.3
B2_70_D4_R2	12/06/2017	10	4	M	F	yes	7200	0	13.1	10.4	6.4
B2_71_D4_R2	12/06/2017	10	4	M	M	yes	7200	0	12.6	9.7	6.1
B2_72_D4_R2	12/06/2017	10	4	M	M	yes	430	1	12.8	10.1	6.1
B2_73_D4_R2	12/06/2017	10	4	M	F	no	243	1	13.5	10.6	6.3
B3_148_D4_R3	16/06/2017	13	4	M	M	yes	7200	0	12.4	9.7	6.1
B3_149_D4_R3	16/06/2017	13	4	F	F	no	7200	0	14.3	11.1	6.6
B3_150_D4_R3	16/06/2017	13	4	F	M	no	334	1	13.4	10.4	6.3
B4_151_D4_R3	16/06/2017	13	4	F	F	no	325	1	14.4	10.7	6.4
B4_152_D4_R4	16/06/2017	12	4	M	F	no	346	1	12.5	9.6	6.1
B4_153_D4_R4	16/06/2017	12	4	F	F	no	7200	0	13.5	10.5	6.1
B4_154_D4_R4	16/06/2017	12	4	F	M	no	198	1	15.2	11.6	6.8
B4_155_D4_R4	16/06/2017	12	4	F	M	no	7200	0	14.1	11.3	6.1
B5_248_D4_R9	22/06/2017	19	4	F	F	no	450	1	14.1	10.5	6.6
B5_249_D4_R9	22/06/2017	19	4	M	M	no	480	1	11.9	9.1	5.6
B5_250_D4_R9	22/06/2017	19	4	F	F	yes	240	1	14.1	10.8	6.5
B6_251_D4_R9	22/06/2017	19	4	M	M	yes	7200	0	12.8	9.8	6.1
B6_252_D4_R5	22/06/2017	18	4	M	F	yes	545	1	12.7	9.4	5.7
B6_253_D4_R5	22/06/2017	18	4	M	F	yes	180	1	12.8	9.9	6.2
B6_254_D4_R5	22/06/2017	18	4	F	M	no	275	1	13.8	10.7	6.6
B6_255_D4_R5	22/06/2017	18	4	M	M	no	7200	0	13.5	10.7	6.4
B6_258_D4_R6	22/06/2017	17	4	F	F	no	430	1	14.1	11.1	6.5
B6_259_D4_R6	22/06/2017	17	4	M	F	no	575	1	13.1	10.1	6.2
B6_260_D4_R6	22/06/2017	17	4	F	M	yes	7200	0	14.2	11.1	6.5
B6_261_D4_R6	22/06/2017	17	4	M	M	no	7200	0	12.9	9.5	6.1
B6_262_D4_R7	22/06/2017	16	4	F	F	no	7200	0	13.1	10.2	6.1
B6_263_D4_R7	22/06/2017	16	4	M	F	no	210	1	12.3	9.6	6.1
B6_264_D4_R7	22/06/2017	16	4	F	M	no	250	1	14.1	11.1	6.4
B6_265_D4_R7	22/06/2017	16	4	M	M	no	773	1	12.7	9.7	6.1
B6_266_D4_R8	22/06/2017	15	4	F	F	yes	255	1	13.7	10.4	6.6
B6_267_D4_R8	22/06/2017	15	4	M	F	yes	430	1	12.3	9.4	6.1
B6_268_D4_R8	22/06/2017	15	4	M	M	no	493	1	13.6	10.7	6.5
B6_269_D4_R8	22/06/2017	15	4	M	M	no	465	1	12.1	9.5	6.1
B2_74_D5_R1	12/06/2017	9	5	M	M	no	7200	0	12.8	9.5	5.8
B2_75_D5_R1	12/06/2017	9	5	M	F	no	7200	0	13.1	10.1	6.4
B2_76_D5_R1	12/06/2017	9	5	F	F	no	7200	0	14.2	10.8	6.4
B2_77_D5_R1	12/06/2017	9	5	F	F	no	7200	0	14.8	11.5	6.9
B2_78_D5_R1	12/06/2017	9	5	F	M	no	337	1	12.5	9.6	6.1
B2_79_D5_R2	12/06/2017	8	5	F	F	no	7200	0	13.8	10.4	6.1
B2_80_D5_R2	12/06/2017	8	5	M	M	no	300	1	12.8	9.3	5.8
B2_81_D5_R2	12/06/2017	8	5	M	M	no	277	1	13.1	10.1	6.1
B2_82_D5_R2	12/06/2017	8	5	F	F	no	7200	0	13.5	10.6	6.3
B2_83_D5_R2	12/06/2017	8	5	M	M	no	391	1	12.8	9.8	5.8
B4_161_D5_R3	16/06/2017	10	5	F	M	yes	542	1	12.6	9.6	6.1
B4_162_D5_R3	16/06/2017	10	5	M	F	yes	483	1	13.2	10.2	6.3
B4_163_D5_R3	16/06/2017	10	5	F	F	yes	541	1	13.4	10.7	6.5
B4_164_D5_R3	16/06/2017	10	5	F	F	yes	7200	0	13.1	10.3	6.4
B4_165_D5_R3	16/06/2017	10	5	F	M	no	317	1	13.1	10.4	6.3
B4_156_D5_R4	16/06/2017	11	5	F	M	no	431	1	12.6	10.3	6.3
B4_157_D5_R4	16/06/2017	11	5	F	F	no	220	1	13.3	10.1	6.2
B4_158_D5_R4	16/06/2017	11	5	M	M	yes	581	1	12.5	9.6	6.1
B4_159_D5_R4	16/06/2017	11	5	M	F	yes	427	1	13.1	9.5	6.1
B4_160_D5_R4	16/06/2017	11	5	F	F	yes	7200	0	13.5	10.3	6.4
B4_166_D5_R5	16/06/2017	9	5	M	M	no	7200	0	12.6	9.6	6.2
B4_167_D5_R5	16/06/2017	9	5	F	F	no	272	1	13.4	10.1	6.2
B4_168_D5_R5	16/06/2017	9	5	F	F	no	742	1	14.3	10.3	6.4
B4_169_D5_R5	16/06/2017	9	5	M	M	no	490	1	12.8	10.2	5.8
B4_170_D5_R5	16/06/2017	9	5	F	F	no	7200	0	14.1	10.7	6.5
B6_270_D5_R6	22/06/2017	14	5	M	M	no	430	1	11.8	9.1	6.1
B6_271_D5_R6	22/06/2017	14	5	F	F	no	260	1	13.7	10.5	6.4
B6_272_D5_R6	22/06/2017	14	5	F	F	yes	320	1	14.1	11.1	6.8
B6_273_D5_R6	22/06/2017	14	5	F	F	no	498	1	14.1	11.1	6.4
B6_274_D5_R6	22/06/2017	14	5	M	M	yes	520	1	11.1	9.1	6.1
B2_84_D10_R1	12/06/2017	7	10	M	M	no	385	1	13.2	10.1	6.1
B2_85_D10_R1	12/06/2017	7	10	F	F	no	341	1	13.7	11.1	6.4
B2_86_D10_R1	12/06/2017	7	10	F	M	no	7200	0	12.8	10.1	6.1
B2_87_D10_R1	12/06/2017	7	10	M	M	no	474	1	12.7	9.8	6.1
B2_88_D10_R1	12/06/2017	7	10	F	F	yes	7200	0	14.2	11.1	6.5
