uniqueID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	area	Shell_Mass
80	-1.737467e-02	1.094251e-02	1.177375e-02	2.530152e-03	3.229806e-03	5.971678e-03	-5.936029e-03	-2.555877e-03	71.736630048	130.7
81	-1.887572e-02	1.915340e-02	1.197963e-02	5.936174e-03	-5.775410e-03	9.521836e-04	-2.051615e-03	1.095739e-03	71.032524198	106.5
82	6.194000e-03	-1.864198e-02	-1.537589e-03	-6.821531e-03	-1.380683e-02	9.965654e-04	-9.330086e-05	6.167051e-03	84.2208214534	159.9
83	4.333831e-03	-1.331506e-03	-2.077588e-02	1.059357e-02	-4.325237e-03	5.291092e-03	-3.851865e-03	-9.623807e-04	74.1899997964	113.6
84	-2.700364e-02	-6.011806e-03	-1.375770e-02	-1.359023e-02	4.697583e-03	-8.439624e-03	2.352805e-04	8.925051e-03	58.8407251026	159.8
85	2.292937e-02	-2.484823e-02	1.265586e-02	-5.319938e-03	1.126368e-02	9.543767e-04	-5.968999e-03	-8.647043e-04	88.1505831258	160.9
86	-1.004935e-03	-2.001697e-02	-5.255583e-03	-6.131972e-03	2.592652e-03	1.251611e-03	1.219949e-03	1.421138e-03	76.7241942252	124.4
87	-2.337278e-02	7.123412e-03	-6.026029e-04	6.768871e-03	-1.471733e-02	5.283160e-03	4.030314e-03	-2.696809e-03	68.6471404884	145.1
88	-2.907985e-02	-1.803113e-02	1.106197e-03	-9.297581e-03	2.171560e-03	-4.305726e-03	-5.880443e-04	1.174511e-02	82.9736608932	181.0
89	-1.550590e-03	4.130136e-02	-1.592482e-02	-1.071911e-02	5.149287e-03	-5.056489e-03	-2.869256e-03	-2.040710e-03	68.236075512	141.3
90	-2.221741e-02	1.723850e-02	4.680100e-03	3.320842e-03	7.490479e-03	-3.078606e-03	-2.992602e-03	-3.859046e-04	87.2552028384	155.3
91	-5.583030e-03	-2.638868e-03	-7.962222e-03	7.920687e-04	8.641059e-04	-3.145694e-03	-2.465824e-03	-6.185630e-05	83.994971811	151.9
92	3.160177e-05	-2.602175e-02	1.472055e-02	-2.081621e-02	1.762069e-03	-3.715358e-03	1.241690e-02	-5.604651e-03	76.859006562	137.1
93	4.876455e-02	-2.293430e-02	1.167723e-02	-5.202676e-04	2.489150e-03	9.425967e-03	6.076552e-03	-8.134176e-03	72.249963295	123.1
94	-3.200378e-02	-8.497705e-03	-1.232554e-02	2.683989e-03	9.115054e-03	-1.633876e-04	5.814138e-03	-1.577566e-03	83.6335269065	177.1
95	1.161909e-02	-5.287594e-03	5.341599e-03	2.666371e-03	-6.183883e-03	5.921618e-03	-2.923331e-03	1.636869e-03	75.4760098175	134.7
96	-1.362746e-02	2.297568e-02	-7.326724e-03	1.410522e-02	-7.202978e-03	3.484606e-03	-1.823079e-04	-1.238699e-03	79.1166394793	130.0
97	-4.718484e-02	-2.756598e-02	-9.026341e-03	-1.027182e-02	-1.118398e-02	1.323040e-02	6.796785e-04	2.017712e-03	66.7624689569	104.3
98	-1.486339e-03	2.946321e-03	-8.532468e-03	-3.627753e-02	-9.208750e-04	3.911747e-03	-2.616677e-04	1.312801e-02	66.1002831433	147.2
99	-4.609607e-02	6.157765e-03	-1.230993e-02	1.109440e-03	4.826899e-04	1.697041e-03	6.583972e-03	-5.189215e-04	70.0183342904	183.6
100	-1.395540e-02	-3.122639e-03	6.064316e-04	-4.801191e-03	-3.550856e-03	-2.286084e-03	-3.648432e-03	3.946089e-03	79.6981835656	114.7
101	4.419609e-03	-2.986324e-02	1.352947e-02	-3.829519e-03	-2.278785e-02	3.843464e-04	-3.048320e-03	5.719614e-04	76.5460412578	150.4
102	2.460777e-02	-8.930438e-03	9.102333e-03	-5.513376e-03	-8.895495e-03	3.152415e-03	5.388870e-04	1.107756e-03	63.8907300579	112.1
103	-6.227460e-04	1.368290e-02	-9.390491e-03	1.368042e-02	-2.588741e-04	-8.713984e-03	3.671547e-03	-6.326051e-05	72.1696973048	125.2
104	-3.401036e-02	8.250167e-02	-2.172440e-02	-7.622318e-02	5.677787e-03	7.512031e-03	-5.248487e-03	-1.367246e-02	79.6784704704	184.0
105	-1.035996e-02	1.125575e-02	3.936136e-03	-2.336723e-02	5.296955e-03	-1.013845e-03	-8.018299e-03	-1.130754e-02	78.8930635524	169.2
106	2.242503e-02	3.146093e-03	-2.448744e-02	4.943890e-03	6.447869e-03	-4.354507e-03	3.610234e-03	8.852409e-04	71.2024120665	140.2
108	1.746862e-02	-3.828674e-03	-3.903963e-03	4.682872e-04	-5.941890e-03	2.327888e-04	1.797311e-03	-3.066929e-03	81.5928773	234.2
