ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B7_305_D15_R3	22/06/17	20	3	12	15	M	M	no	0	742	1	13.3	10.2	6.1
B7_306_D15_R3	22/06/17	20	3	12	15	M	F	no	0	7200	0	13.5	10.1	6.3
B7_307_D15_R3	22/06/17	20	3	12	15	F	M	no	0	410	1	13.1	10.1	6.1
B7_308_D15_R3	22/06/17	20	3	12	15	F	M	yes	3	446	1	12.4	9.5	6.1
B7_309_D15_R3	22/06/17	20	3	12	15	F	M	yes	3	570	1	13.3	10.1	6.3
B7_310_D15_R3	22/06/17	20	3	12	15	M	F	yes	3	518	1	13.4	10.3	6.2
B7_311_D15_R3	22/06/17	20	3	12	15	M	F	yes	3	390	1	12.7	9.7	6.1
B7_312_D15_R3	22/06/17	20	3	12	15	M	M	yes	3	7200	0	12.7	9.5	6.1
B7_313_D15_R3	22/06/17	20	3	12	15	F	F	yes	3	659	1	13.9	10.8	6.3
B7_314_D15_R3	22/06/17	20	3	12	15	F	F	no	1	750	1	14.8	11.1	6.5
B2_100_D20_R1	12/06/17	10	1	5	20	M	F	yes	2	7200	0	13.4	10.3	6.1
B3_101_D20_R1	12/06/17	10	1	5	20	F	M	yes	2	7200	0	12.8	9.9	5.9
B3_102_D20_R1	12/06/17	10	1	5	20	M	M	no	0	489	1	12.1	9.3	5.8
B3_103_D20_R1	12/06/17	10	1	5	20	F	M	no	0	7200	0	13.1	9.9	6.1
B3_104_D20_R1	12/06/17	10	1	5	20	F	F	no	0	7200	0	14.3	10.9	6.2
B3_105_D20_R1	12/06/17	10	1	5	20	F	F	no	0	7200	0	14.1	10.9	6.5
B3_106_D20_R1	12/06/17	10	1	5	20	M	M	yes	3	7200	0	13.1	9.8	5.9
B3_107_D20_R1	12/06/17	10	1	5	20	M	M	yes	3	7200	0	12.1	8.6	5.8
B3_108_D20_R1	12/06/17	10	1	5	20	F	F	yes	3	7200	0	13.7	10.8	6.5
B3_109_D20_R1	12/06/17	10	1	5	20	M	M	yes	3	7200	0	12.8	10.1	6.1
B3_110_D20_R1	12/06/17	10	1	5	20	F	F	yes	3	7200	0	14.2	11.1	6.6
B3_111_D20_R1	12/06/17	10	1	5	20	M	M	yes	3	7200	0	12.6	10.1	5.6
B3_112_D20_R1	12/06/17	10	1	5	20	M	M	yes	3	211	1	12.9	10.3	6.1
B3_114_D20_R1	12/06/17	10	1	5	20	M	F	no	0	443	1	13.1	10.3	6.1
B3_117_D20_R1	12/06/17	10	1	5	20	F	F	yes	3	209	1	13.3	10.3	6.1
B3_118_D20_R1	12/06/17	10	1	5	20	F	M	no	0	348	1	12.9	10.1	5.9
B3_119_D20_R1	12/06/17	10	1	5	20	M	F	yes	3	242	1	13.1	10.1	6.2
B3_120_D20_R1	12/06/17	10	1	5	20	F	F	no	0	200	1	13.5	10.4	6.3
